id,sha,title,url,abstract,fake
219410769,bb8b66c38c55bd078cdb34444f7d622130f61c56,Practice with people experiencing homelessness: an analysis of secondary traumatic stress in the workplace,https://www.semanticscholar.org/paper/bb8b66c38c55bd078cdb34444f7d622130f61c56,"ABSTRACT People experiencing homelessness often present to social service providers with trauma histories. As they seek services, their service providers may be secondarily exposed to their clients’ trauma, thereby impacting the level of care these service providers are able to offer. Unfortunately, little research examines the stress burden carried by homelessness service providers, nor the factors that contribute to their stress burden. The purpose of this mixed methods study, therefore, is to characterize the secondary traumatic stress (STS) reported by individuals who provide direct services to people experiencing homelessness, and to explore the workplace experiences that may underlie, influence, or mitigate this stress. The study relies upon a sample of direct service providers and program managers who work with people experiencing homelessness. The authors collected data on STS and workplace stress via a web-based survey (n = 122) and focus group interviews (n = 21). The results of this study suggest that homelessness service providers carry a substantial stress burden. Findings further point towards administrative strategies that may improve service providers’ stress burdens, and potentially improve the service quality provided by agencies serving homeless populations.",0
225065627,3e32edda8553cb4524a33e3710e5d5907ff0ee1a,Diagnostic features of the presumed focal viral retinitis: A case series.,https://www.semanticscholar.org/paper/3e32edda8553cb4524a33e3710e5d5907ff0ee1a,"INTRODUCTION
Other than well-known herpetic retinopathies like acute retinal necrosis, progressive outer retinal necrosis and cytomegalovirus retinitis, there are few reports on atypical forms of viral retinitis caused by herpes virus from around the world.


CASES
Presenting symptom was sudden onset of diminution of vision in all 6 cases. Mean duration of symptoms at presentation was 7.6 days. The mean age was 27.3 years (range 22-40 years). All were immunocompetent (4 females and 2 males), with unremarkable review of system. All had unilateral involvement. Presenting visual acuity ranged from CFCF to 6/60. Granulomatous anterior uveitis was present in 4 cases. All had focal retinitis with irregular margins, either juxtapapillary, macular or over one of the major vascular arcades. The diagnosis of focal viral retinitis was made solely based upon the clinical findings. All recovered after a course of oral acyclovir (one was given additional intravitreal acyclovir as well) and oral prednisolone, with final visual acuity of 6/6P to 6/9 in all except one.


CONCLUSION
In case of focal retinitis with irregular margin, viral etiology should be borne in mind. Clinical features are typical enough to help in diagnosing without PCR test.",0
209854486,542d6a78cac5b849326df127dd533a3b371dda75,On One Class of Generalized Operations for the Representation and Interpretation of Triangular Norms and Conorms,https://www.semanticscholar.org/paper/542d6a78cac5b849326df127dd533a3b371dda75,"This paper presents an approach whose essence is to use functions of a special kind to establish the structure of known fuzzy operations in the form of triangular norms and conorms. Generalized parametric representations for these operations are obtained. The results of the study will not only increase the degree of validity in the formalization of logical connectives, but also systematize the use of fuzzy operations in fuzzy modelling.",0
239681712,9700ae27070170d0e0766eeee88069a7c613e526,Tadeusz Staich and Podhale regionalism,https://www.semanticscholar.org/paper/9700ae27070170d0e0766eeee88069a7c613e526,"Tadeusz Staich (1919–1987) was a Tatra guide, author of sightseeing essays and a poet, author of poems about the Tatra Mountains. During the war he took part in secret teaching and in the resistance movement. In 1956, together with Hanna Pieńkowska, he published a monumental book Drogami skalnej ziemi (Rock Roads). It was a monograph of Podhale’s sightseeing, documenting the state of his spiritual and material culture around 1955. His last work — published posthumously — was a monograph of the historic church in Dębno. The main character is a folk sculptor Józef Janos.",0
214506937,3a80959786994010334e1d809227f917dbdefe6f,"Accessibility, Content, HTML, JavaScript, CSS, and the Land of Accessible Rich Internet Applications",https://www.semanticscholar.org/paper/3a80959786994010334e1d809227f917dbdefe6f,,0
232355224,85521c87964c3acfded33951f58803045d8d4fc8,Re-engineering the innovator-clinic interface for adoption of advanced therapies.,https://www.semanticscholar.org/paper/85521c87964c3acfded33951f58803045d8d4fc8,"The relationship between regenerative medicine innovators and the clinics that will use their inventions continues to evolve. In the UK, the Advanced Therapy Treatment Centres exemplify this. The agents in the value chain are becoming collaborators in a shared innovation process. This paper proposes a larger role for systems engineering in this change and a cost-based representation of institutional readiness in designing suitable operational models for clinical adoption. The proposed approach places this value in a whole-lifetime cost framework. The current value for the adoption process can then be estimated for comparison with the sum of the adoption costs, the costs of operating at steady state and, if need be, replacement costs at end of life of the innovation.",0
24987797,428b19e218451467d91c3f56fcd8ea3d4267a6d8,Central venous catheterization related complications in Pediatric Intensive Care Unit at Queen Sirikit National Institute of Child Health.,https://www.semanticscholar.org/paper/428b19e218451467d91c3f56fcd8ea3d4267a6d8,"BACKGROUND
Central venous catheterization (CVC) is an indispensable route of venous access in management of critically ill patients. Potential CVC related complications include mechanical and infectious complications.


OBJECTIVE
To determine type, incidence and risk factor of CVC related complications in pediatric patients.


MATERIAL AND METHOD
Prospective observational study of all patients who underwent CVC in pediatric intensive care unit (PICU) at Queen Sirikit National Institute of Child Health, over a 1-year period.


RESULTS
The study included 137 patients, of whom 63.5% were males. The mean age was 36.7 ± 4.4 months. There were 204 CVC attempts with total indwell time of 2,002 days. The rate of mechanical complication was 19%, including failure to place catheter (9.3%), hematoma (4.9%), arterial puncture (2%) and pneumothorax (1.5%). Patient body mass index (BMI) > 30 kg/m2, internal jugular venous catheterization, and longer insertion time (> 30 minutes) were associated with high mechanical complication rates. The incidence density of catheter related blood stream infection (CRBSI) was 7.5/1,000 catheter-days. Femoral vein placement had significant higher incidence of CRBSI.


CONCLUSION
CVC related complications are comparable to previous studies. Risk factors of mechanical complications include high BMI, internal jugular venous catheterization and longer insertion time. Femoral venous catheterization is the only risk factor for CRBSI.",0
215948829,d577813153c70657f7a691361def2cb52bfde996,Spider Web shaped Near-field UHF RFID Reader Antenna for Healthcare and IoT Applications,https://www.semanticscholar.org/paper/d577813153c70657f7a691361def2cb52bfde996,"This paper presents a spider web-shaped antenna for near-field UHF RFID applications. The proposed design consists of concentric decagons, and open-ended microstrip lines etched on the circular substrate. The proposed design features a uniform and fairly strong electric field distribution in the nearfield region. In addition, this antenna exhibits impedance matching ranging from 902 MHz - 925 MHz and further poses low gain characteristics, that is required for most of the nearfield application in order to avoid misreading of other tags. Moreover, this design provides symmetric current distribution throughout the structure, thereby solves orientation sensitivity problems of low-cost linearly polarised tag antennas. The measurement results demonstrate tag can successfully read expensive jewellery items, tagged pills and tag placed in different orientations. Therefore, the proposed reader antenna is a good candidate for near field RFID, health care and IoT Applications.",0
2178047,7be8bab2dc430c410e2eea5bc8073be7e7244c3a,Applying External Solutions to Organizational Development: eLearning as a Platform for Internal Growth,https://www.semanticscholar.org/paper/7be8bab2dc430c410e2eea5bc8073be7e7244c3a,,0
36606960,0cc88216aeffbb9b9c680e5940a11f97e87ee578,Finding your feet: The development of a podiatry intervention to reduce falls in care home residents,https://www.semanticscholar.org/paper/0cc88216aeffbb9b9c680e5940a11f97e87ee578,,0
